"entity","action","reason","existing_id","name","native_name","governorate","website","email","phone"
"institution","skipped","matched website","academic-inst-b8d96377d0f143abb2d6988f4f1fd7e5","HKU – Hawler Medical University","زانكۆی پزیشكی هەولێر","Erbil","hmu.edu.krd","webmaster@hmu.edu.krd","964428571429"
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","vice.sc@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","vice.admn@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","uti@stu.edu.iq",""
"institution","skipped","matched website","academic-inst-4002eb6eb0ff4682957237fe6f6ff2f8","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","usama.khaleefa@uobasrah.edu.iq",""
"institution","skipped","matched website","academic-inst-78a0356cb2a9499ebee1a9cc743bd01b","University of Thi-Qar","جامعة ذي قار","Dhi Qar","utq.edu.iq","university.of.thiqar@utq.edu.iq","964970179083"
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","ttc@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","sti@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","secretary@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","sc@stu.edu.iq",""
"institution","skipped","matched English name + governorate","academic-inst-1ed3de9bad2e4bf889067ae586216831","Iraqi University","الجامعة العراقية","Baghdad","aliraqia.edu.iq","saf@ses.aliraqia.edu.iq","964780699351"
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","reshak@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","relations@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","raghdan.mohsin@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","quality@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","qti@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","projects@stu.edu.iq",""
"institution","skipped","matched website","academic-inst-060311196f6046ff90de9b555abc4077","University of Mosul","جامعة الموصل","Nineveh","uomosul.edu.iq","presidentpresident@uomosul.edu.iq","964568359375"
